electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
5.5575,1.439,8.7,5.1
5.6,0.855,9.0,5.6
6.9,1.439,9.0,6.9
6.9,1.898,9.0,6.8574
6.8746,2.898,9.0,4.5
1.998,4.349,9.0,3.999
1.439,8.7,6.9,2.135
0.855,9.0,5.6,1.8
1.439,9.0,5.5611,1.895
1.898,9.0,5.2,2.945
2.898,9.0,4.34,4.35
4.349,9.0,4.399,4.65
8.7,6.9,5.1,8.9223
9.0,5.6,5.6,9.0
9.0,5.5611,6.9,9.0
9.0,5.2,6.8574,9.0
9.0,4.34,4.5,9.0
9.0,4.399,3.999,9.0
6.9,5.1,2.135,6.9
5.6,5.6,1.8,5.6
5.5611,6.9,1.895,5.5829
5.2,6.8574,2.945,5.585
4.34,4.5,4.35,5.5862
4.399,3.999,4.65,5.5875
5.1,2.135,8.9223,5.563
5.6,1.8,9.0,5.6
6.9,1.895,9.0,6.9
6.8574,2.945,9.0,6.8
4.5,4.35,9.0,5.88
3.999,4.65,9.0,2.495
2.135,8.9223,6.9,2.535
1.8,9.0,5.6,2.3
1.895,9.0,5.5829,2.535
2.945,9.0,5.585,3.297
4.35,9.0,5.5862,3.04
4.65,9.0,5.5875,4.35
8.9223,6.9,5.563,8.6
9.0,5.6,5.6,9.0
9.0,5.5829,6.9,9.0
9.0,5.585,6.8,9.0
9.0,5.5862,5.88,9.0
9.0,5.5875,2.495,9.0
6.9,5.563,2.535,6.9
5.6,5.6,2.3,5.6
5.5829,6.9,2.535,5.584
5.585,6.8,3.297,5.5895
5.5862,5.88,3.04,5.5868
5.5875,2.495,4.35,5.5772
5.563,2.535,8.6,5.5821
5.6,2.3,9.0,5.5851
6.9,2.535,9.0,6.8737
6.8,3.297,9.0,6.8
5.88,3.04,9.0,5.722
2.495,4.35,9.0,2.494
2.535,8.6,6.9,0.87
2.3,9.0,5.6,0.35
2.535,9.0,5.584,0.87
3.297,9.0,5.5895,1.45
3.04,9.0,5.5868,2.844
4.35,9.0,5.5772,4.238
8.6,6.9,5.5821,8.9
9.0,5.6,5.5851,9.0
9.0,5.584,6.8737,9.0
9.0,5.5895,6.8,9.0
9.0,5.5868,5.722,9.0
9.0,5.5772,2.494,9.0
6.9,5.5821,0.87,6.9
5.6,5.5851,0.35,5.6
5.584,6.8737,0.87,5.5904
5.5895,6.8,1.45,5.5881
5.5868,5.722,2.844,5.5822
5.5772,2.494,4.238,5.5806
5.5821,0.87,8.9,5.578
5.5851,0.35,9.0,5.5896
6.8737,0.87,9.0,6.8763
6.8,1.45,9.0,5.88
5.722,2.844,9.0,4.499
2.494,4.238,9.0,1.878
0.87,8.9,6.9,0.687
0.35,9.0,5.6,0.85
0.87,9.0,5.5904,0.687
1.45,9.0,5.5881,0.687
2.844,9.0,5.5822,2.95
4.238,9.0,5.5806,3.039
8.9,6.9,5.578,6.15
9.0,5.6,5.5896,9.0
9.0,5.5904,6.8763,9.0
9.0,5.5881,5.88,9.0
9.0,5.5822,4.499,9.0
9.0,5.5806,1.878,9.0
6.9,5.578,0.687,6.9
5.6,5.5896,0.85,5.6
5.5904,6.8763,0.687,5.5874
5.5881,5.88,0.687,5.5837
5.5822,4.499,2.95,5.5785
5.5806,1.878,3.039,5.5876
5.578,0.687,6.15,5.5822
5.5896,0.85,9.0,5.385
6.8763,0.687,9.0,4.3
5.88,0.687,9.0,4.45
4.499,2.95,9.0,3.039
1.878,3.039,9.0,3.04
